Loan_ID,Customer_Age,Income,Loan_Type,Loan_Amount,Interest_Rate,Issue_Date,Loan_Status,Recovery_Status,Recovery_Amount,Outstanding_Amount,Recovery_Rate,Risk_Segment
LN09092,,326122,Home Loan,3095000,9.36,2025-08-23,Charged Off,Default,729347.23,2365652.77,23.57,High Risk
LN03743,51.0,1742834,Home Loan,3487000,8.33,2025-06-24,Fully Paid,Recovered,3403766.83,83233.17,97.61,Medium Risk
LN02160,50.0,500781,Auto Loan,471000,9.89,2025-08-23,Fully Paid,Recovered,470711.03,288.97,99.94,Medium Risk
LN05724,40.0,502325,Home Loan,3853000,9.81,2025-08-11,Fully Paid,Recovered,3736469.83,116530.17,96.98,High Risk
LN08988,,338321,Home Loan,3025000,9.27,2025-09-14,Charged Off,Default,693521.28,2331478.72,22.93,High Risk
LN06523,,565411,Home Loan,2711000,10.0,2026-01-02,Charged Off,Default,911820.44,1799179.56,33.63,High Risk
LN03150,22.0,859998,Home Loan,1095000,8.14,2025-08-07,Fully Paid,Recovered,1082856.15,12143.85,98.89,Medium Risk
LN02877,56.0,403458,Personal Loan,419000,16.26,2025-11-09,Charged Off,Default,92499.83,326500.17,22.08,Medium Risk
LN05915,43.0,586951,Education Loan,549000,11.07,2026-01-14,Fully Paid,Recovered,545164.47,3835.53,99.3,Medium Risk
LN07745,47.0,559001,Business Loan,3847000,12.72,2025-10-11,Fully Paid,Recovered,3786975.1,60024.9,98.44,High Risk
LN05701,60.0,253822,Business Loan,2322000,14.31,2025-07-27,Charged Off,Default,685142.27,1636857.73,29.51,High Risk
LN04690,31.0,212617,Home Loan,2456000,8.76,2025-06-26,Fully Paid,Recovered,2390277.43,65722.57,97.32,High Risk
LN01781,45.0,1027479,Business Loan,4144000,13.04,2026-02-01,Fully Paid,Recovered,3971443.84,172556.16,95.84,Medium Risk
LN08905,51.0,494058,Business Loan,3386000,12.73,2026-01-07,Fully Paid,Recovered,3238453.65,147546.35,95.64,High Risk
LN04360,40.0,790728,Home Loan,3083000,8.79,2025-07-22,Charged Off,Default,925642.0,2157358.0,30.02,Medium Risk
LN07733,63.0,1185620,Home Loan,3302000,8.34,2026-04-05,Fully Paid,Recovered,3234130.06,67869.94,97.94,Medium Risk
LN03795,48.0,1070327,Home Loan,4232000,8.01,2025-06-17,Charged Off,Default,1619295.51,2612704.49,38.26,Medium Risk
LN03371,30.0,803978,Home Loan,3206000,8.3,2026-04-12,Fully Paid,Recovered,3050248.33,155751.67,95.14,Medium Risk
LN06014,52.0,559585,Education Loan,548000,12.63,2026-03-15,Fully Paid,Recovered,533230.29,14769.71,97.3,Medium Risk
LN05804,29.0,688245,Personal Loan,386000,15.91,2025-11-08,Fully Paid,Recovered,381697.78,4302.22,98.89,Medium Risk
LN08779,40.0,531604,Home Loan,3929000,8.8,2025-06-24,Fully Paid,Recovered,3872127.03,56872.97,98.55,High Risk
LN09078,41.0,883452,Auto Loan,744000,10.23,2025-08-12,Fully Paid,Recovered,724836.15,19163.85,97.42,Medium Risk
LN03054,56.0,497587,Personal Loan,352000,16.1,2025-09-16,Fully Paid,Recovered,348926.67,3073.33,99.13,Medium Risk
LN03289,32.0,1006973,Auto Loan,708000,9.74,2025-07-09,Fully Paid,Recovered,689085.28,18914.72,97.33,Medium Risk
LN02590,55.0,750044,Education Loan,675000,11.21,2026-01-04,Fully Paid,Recovered,658672.15,16327.85,97.58,Medium Risk
